,메뉴명,가격
0,오모가리 김치제육덮밥,"4,900원"
1,빅 오모가리 김치제육덮밥,"5,500원"
2,한우 함박스테이크& 청양 토네이도 소세지,"8,900원"
3,한우 함박스테이크&토네이도 소세지,"8,900원"
4,제주녹차 미니꿀호떡,"2,500원"
5,사골 매생이 떡국,"6,900원"
6,불닭 치킨마요,"4,900원"
7,불닭 참치마요,"4,700원"
8,"치킹 반반순살(양념, 후라이드)","16,900원"
9,치킹 반반순살(후라이드),"16,900원"
10,연잎 오리구이,"7,700원"
11,사골 조랭이떡 만둣국,"5,900원"
12,해바라기,"10,000원"
13,매화,"10,500원"
14,진달래,"8,000원"
15,돈까스도련님 고기고기,"6,600원"
16,새치 고기고기,"7,100원"
17,돈치 고기고기,"6,100원"
18,송정식 떡갈비 Ⅱ,"6,900원"
19,제육돈까스 도련님,"4,900원"
20,숯불직화구이,"6,800원"
21,소불고기,"5,700원"
22,메가치킨제육,"7,800원"
23,칠리 찹쌀탕수육도련님,"4,500원"
24,동백,"6,200원"
25,치킨제육,"5,000원"
26,돈까스도련님,"4,900원"
27,제육볶음,"4,700원"
28,믹스후라이,"6,000원"
29,돈치스팸,"5,000원"
30,송정식 떡갈비,"6,900원"
31,제육 김치찌개 정식,"8,800원"
32,빅치킨마요 김치 부대찌개 정식,"8,200원"
33,치킨마요 김치 부대찌개 정식,"7,600원"
34,빅치킨마요 김치찌개 정식,"7,700원"
35,치킨마요 김치찌개 정식,"7,100원"
36,메가스팸마요,"5,900원"
37,스팸마요,"4,000원"
38,메가치킨마요,"6,200원"
39,왕치킨마요,"5,100원"
40,빅치킨마요,"4,400원"
41,치킨마요,"3,800원"
42,참치마요,"3,600원"
43,돈치마요,"4,100원"
44,돈까스 카레,"4,800원"
45,스팸 김치볶음밥,"4,900원"
46,김치볶음밥,"4,100원"
47,스팸 철판볶음밥,"4,900원"
48,소불고기 철판볶음밥,"5,100원"
49,묵은지 김치찌개,"5,000원"
50,김치 부대찌개,"6,100원"
51,스페셜 하이라이스,"5,900원"
52,핫 치즈 닭갈비덮밥,"6,100원"
53,오리지널 치즈 닭갈비덮밥,"6,100원"
54,숯불직화구이 덮밥,"6,000원"
55,마파두부 덮밥,"5,000원"
56,왕카레돈까스덮밥,"6,100원"
57,새우돈까스 덮밥,"4,400원"
58,돈까스 덮밥,"4,300원"
59,아보카도 소불고기 명란 비빔밥,"6,700원"
60,소불고기 감초고추장 비빔밥,"5,700원"
61,시골제육 두부강된장 비빔밥,"5,500원"
62,참치야채 감초고추장 비빔밥,"3,800원"
63,튼튼도시락,"5,300원"
64,반찬 묵은지김치찌개,"4,400원"
65,반찬 카레,"2,900원"
66,반찬 순살 고등어 간장구이,"3,900원"
67,반찬 김치 부대찌개,"4,900원"
68,반찬 치킨,"3,800원"
69,반찬 고기고기,"3,600원"
70,반찬 돈까스도련님,"4,100원"
71,반찬 제육볶음,"3,500원"
72,반찬 토네이도 소세지,"3,200원"
73,반찬 돈까스,"2,900원"
74,치즈버터 해시 포테이토 스틱,"2,200원"
75,허니버터 해시 포테이토 스틱,"2,200원"
76,해시 포테이토 스틱,"2,000원"
77,뉴 감자고로케,"2,700원"
78,미니 찹쌀핫도그,"2,800원"
79,미니 찹쌀탕수육,"2,300원"
80,케이준후라이,"1,900원"
81,멘치카츠,"2,800원"
82,김피탕,"5,500원"
83,빅김피탕,"7,900원"
84,통현미 닭강정(소),"3,500원"
85,통현미 닭강정(중),"8,500원"
86,후라이드 순살(중),"7,500원"
87,후라이드 순살(소)_양념치킨소스,"4,000원"
88,후라이드 순살(소)_케이준소스,"4,000원"
89,3종 미니반찬B,"1,300원"
90,3종 미니반찬A,"1,300원"
91,오징어젓갈,600원
92,한솥 두부강된장소스,"1,800원"
93,한솥 감초볶음고추장소스,500원
94,볶음김치,500원
95,김치,500원
96,무말랭이 무침,500원
97,한솥밥,"1,000원"
98,현미밥,"1,700원"
99,리얼꿀 미니호떡,"2,200원"
